# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 2.764500e+03
# lRef       : 5.000000e-02
# Aref       : 1.966460e-05
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
2.000075131e-05	-6.900571e-01	4.480837e-01	-8.010198e-01	-1.090567e+00	2.895472e-01
2.000150263e-05	-6.900733e-01	4.480922e-01	-8.010348e-01	-1.090591e+00	2.895559e-01
2.000225394e-05	-6.900860e-01	4.480992e-01	-8.010465e-01	-1.090609e+00	2.895627e-01
2.000300526e-05	-6.900982e-01	4.481061e-01	-8.010577e-01	-1.090627e+00	2.895693e-01
2.000375657e-05	-6.901102e-01	4.481129e-01	-8.010688e-01	-1.090645e+00	2.895758e-01
2.000450789e-05	-6.901222e-01	4.481197e-01	-8.010799e-01	-1.090662e+00	2.895823e-01
2.00052592e-05	-6.901343e-01	4.481265e-01	-8.010909e-01	-1.090680e+00	2.895888e-01
2.000601052e-05	-6.901463e-01	4.481333e-01	-8.011020e-01	-1.090697e+00	2.895953e-01
2.000676183e-05	-6.901583e-01	4.481402e-01	-8.011130e-01	-1.090715e+00	2.896018e-01
2.000751315e-05	-6.901704e-01	4.481470e-01	-8.011241e-01	-1.090732e+00	2.896083e-01
2.000826446e-05	-6.901824e-01	4.481538e-01	-8.011352e-01	-1.090750e+00	2.896148e-01
2.000901578e-05	-6.901945e-01	4.481606e-01	-8.011463e-01	-1.090768e+00	2.896214e-01
2.000976709e-05	-6.902066e-01	4.481675e-01	-8.011573e-01	-1.090785e+00	2.896279e-01
2.001051841e-05	-6.902187e-01	4.481743e-01	-8.011684e-01	-1.090803e+00	2.896344e-01
2.001126972e-05	-6.902308e-01	4.481811e-01	-8.011795e-01	-1.090821e+00	2.896410e-01
2.001202104e-05	-6.902429e-01	4.481880e-01	-8.011907e-01	-1.090838e+00	2.896475e-01
2.001277235e-05	-6.902550e-01	4.481948e-01	-8.012018e-01	-1.090856e+00	2.896541e-01
2.001352367e-05	-6.902671e-01	4.482017e-01	-8.012129e-01	-1.090874e+00	2.896607e-01
2.001427498e-05	-6.902793e-01	4.482085e-01	-8.012240e-01	-1.090891e+00	2.896672e-01
2.00150263e-05	-6.902914e-01	4.482154e-01	-8.012352e-01	-1.090909e+00	2.896738e-01
2.001577761e-05	-6.903036e-01	4.482222e-01	-8.012464e-01	-1.090927e+00	2.896804e-01
2.001652893e-05	-6.903158e-01	4.482291e-01	-8.012575e-01	-1.090945e+00	2.896870e-01
2.001728024e-05	-6.903280e-01	4.482360e-01	-8.012687e-01	-1.090962e+00	2.896936e-01
2.001803156e-05	-6.903402e-01	4.482429e-01	-8.012799e-01	-1.090980e+00	2.897002e-01
2.001878287e-05	-6.903524e-01	4.482497e-01	-8.012911e-01	-1.090998e+00	2.897068e-01
2.001953418e-05	-6.903646e-01	4.482566e-01	-8.013023e-01	-1.091016e+00	2.897135e-01
2.00202855e-05	-6.903768e-01	4.482635e-01	-8.013135e-01	-1.091034e+00	2.897201e-01
2.002103681e-05	-6.903891e-01	4.482704e-01	-8.013247e-01	-1.091051e+00	2.897267e-01
2.002178813e-05	-6.904013e-01	4.482773e-01	-8.013359e-01	-1.091069e+00	2.897334e-01
2.002253944e-05	-6.904136e-01	4.482842e-01	-8.013471e-01	-1.091087e+00	2.897400e-01
2.002329076e-05	-6.904259e-01	4.482911e-01	-8.013584e-01	-1.091105e+00	2.897467e-01
2.002404207e-05	-6.904382e-01	4.482980e-01	-8.013696e-01	-1.091123e+00	2.897533e-01
2.002479339e-05	-6.904505e-01	4.483049e-01	-8.013809e-01	-1.091141e+00	2.897600e-01
2.00255447e-05	-6.904628e-01	4.483118e-01	-8.013921e-01	-1.091159e+00	2.897667e-01
2.002629602e-05	-6.904751e-01	4.483188e-01	-8.014034e-01	-1.091177e+00	2.897734e-01
2.002704733e-05	-6.904874e-01	4.483257e-01	-8.014147e-01	-1.091195e+00	2.897801e-01
2.002779865e-05	-6.904998e-01	4.483326e-01	-8.014260e-01	-1.091213e+00	2.897868e-01
2.002854996e-05	-6.905121e-01	4.483396e-01	-8.014373e-01	-1.091231e+00	2.897935e-01
2.002930128e-05	-6.905245e-01	4.483465e-01	-8.014486e-01	-1.091249e+00	2.898002e-01
2.003005259e-05	-6.905369e-01	4.483534e-01	-8.014599e-01	-1.091267e+00	2.898069e-01
2.003080391e-05	-6.905492e-01	4.483604e-01	-8.014712e-01	-1.091285e+00	2.898136e-01
2.003155522e-05	-6.905616e-01	4.483673e-01	-8.014826e-01	-1.091303e+00	2.898204e-01
2.003230654e-05	-6.905741e-01	4.483743e-01	-8.014939e-01	-1.091321e+00	2.898271e-01
2.003305785e-05	-6.905865e-01	4.483812e-01	-8.015052e-01	-1.091339e+00	2.898339e-01
2.003380917e-05	-6.905989e-01	4.483882e-01	-8.015166e-01	-1.091357e+00	2.898406e-01
2.003456048e-05	-6.906113e-01	4.483951e-01	-8.015280e-01	-1.091375e+00	2.898474e-01
2.00353118e-05	-6.906238e-01	4.484021e-01	-8.015393e-01	-1.091393e+00	2.898541e-01
2.003606311e-05	-6.906363e-01	4.484091e-01	-8.015507e-01	-1.091412e+00	2.898609e-01
2.003681443e-05	-6.906487e-01	4.484161e-01	-8.015621e-01	-1.091430e+00	2.898677e-01
2.003756574e-05	-6.906612e-01	4.484230e-01	-8.015735e-01	-1.091448e+00	2.898745e-01
2.003831705e-05	-6.906737e-01	4.484300e-01	-8.015849e-01	-1.091466e+00	2.898813e-01
2.003906837e-05	-6.906862e-01	4.484370e-01	-8.015963e-01	-1.091484e+00	2.898881e-01
2.003981968e-05	-6.906987e-01	4.484440e-01	-8.016077e-01	-1.091503e+00	2.898949e-01
2.0040571e-05	-6.907113e-01	4.484510e-01	-8.016192e-01	-1.091521e+00	2.899017e-01
