# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.808989e-09	(4.355865e-04 -9.034578e-04 8.619746e-23)	(4.355865e-04 -9.034578e-04 8.576724e-23)	(7.992520e-19 -1.633929e-18 4.302246e-25)
5.839964e-09	(-1.993768e-03 4.066117e-03 -2.620343e-22)	(4.367586e-04 -9.058883e-04 8.599726e-23)	(-2.430527e-03 4.972006e-03 -3.480316e-22)
8.270674e-09	(1.672766e-03 -3.544517e-03 2.355182e-22)	(4.347732e-04 -9.017747e-04 8.560119e-23)	(1.237993e-03 -2.642743e-03 1.499170e-22)
1.048931e-08	(-2.299566e-04 3.741527e-04 -4.057063e-23)	(4.399547e-04 -9.125088e-04 8.662311e-23)	(-6.699113e-04 1.286662e-03 -1.271937e-22)
1.259018e-08	(7.302550e-04 -1.586482e-03 1.067072e-22)	(4.410479e-04 -9.147898e-04 8.683669e-23)	(2.892071e-04 -6.716920e-04 1.987046e-23)
1.462189e-08	(2.637167e-04 -6.305317e-04 3.684371e-23)	(4.438750e-04 -9.206426e-04 8.739275e-23)	(-1.801583e-04 2.901109e-04 -5.054905e-23)
1.660056e-08	(4.968274e-04 -1.099486e-03 5.516071e-23)	(4.456302e-04 -9.242910e-04 8.773759e-23)	(5.119719e-05 -1.751952e-04 -3.257688e-23)
1.854403e-08	(3.864296e-04 -8.734329e-04 4.081443e-23)	(4.477421e-04 -9.286642e-04 8.815273e-23)	(-6.131247e-05 5.523134e-05 -4.733830e-23)
2.046094e-08	(4.432572e-04 -9.843223e-04 3.895004e-23)	(4.495655e-04 -9.324500e-04 8.851125e-23)	(-6.308311e-06 -5.187236e-05 -4.956122e-23)
2.235927e-08	(4.180420e-04 -9.315653e-04 5.472736e-23)	(4.514268e-04 -9.363081e-04 8.887718e-23)	(-3.338476e-05 4.742814e-06 -3.414981e-23)
2.424661e-08	(4.328379e-04 -9.584084e-04 4.751864e-23)	(4.531868e-04 -9.399603e-04 8.922335e-23)	(-2.034886e-05 -1.844809e-05 -4.170471e-23)
2.612306e-08	(4.278059e-04 -9.464967e-04 4.890791e-23)	(4.549215e-04 -9.435575e-04 8.956451e-23)	(-2.711559e-05 -2.939202e-06 -4.065660e-23)
2.799230e-08	(4.324680e-04 -9.536469e-04 4.701934e-23)	(4.566009e-04 -9.470417e-04 8.989491e-23)	(-2.413288e-05 -6.605191e-06 -4.287556e-23)
2.985796e-08	(4.322537e-04 -9.515478e-04 3.463579e-23)	(4.582455e-04 -9.504528e-04 9.021846e-23)	(-2.599182e-05 -1.095000e-06 -5.558267e-23)
3.172004e-08	(4.343791e-04 -9.540502e-04 2.979803e-23)	(4.598497e-04 -9.537807e-04 9.053414e-23)	(-2.547060e-05 -2.695861e-07 -6.073611e-23)
3.358212e-08	(4.352833e-04 -9.543576e-04 3.435723e-23)	(4.614141e-04 -9.570256e-04 9.084201e-23)	(-2.613074e-05 2.667975e-06 -5.648478e-23)
3.544779e-08	(4.367634e-04 -9.558437e-04 3.085478e-23)	(4.629413e-04 -9.601937e-04 9.114263e-23)	(-2.617786e-05 4.350033e-06 -6.028784e-23)
3.731707e-08	(4.378354e-04 -9.566433e-04 2.412392e-23)	(4.644354e-04 -9.632933e-04 9.143677e-23)	(-2.660003e-05 6.649930e-06 -6.731284e-23)
3.919000e-08	(4.390495e-04 -9.577868e-04 2.058001e-23)	(4.658979e-04 -9.663271e-04 9.172477e-23)	(-2.684835e-05 8.540242e-06 -7.114476e-23)
4.107025e-08	(4.400860e-04 -9.586608e-04 2.203191e-23)	(4.673291e-04 -9.692962e-04 9.200665e-23)	(-2.724315e-05 1.063540e-05 -6.997475e-23)
4.295791e-08	(4.411690e-04 -9.596931e-04 1.585892e-23)	(4.687316e-04 -9.722054e-04 9.228288e-23)	(-2.756259e-05 1.251233e-05 -7.642396e-23)
4.485304e-08	(4.421888e-04 -9.606625e-04 1.279199e-23)	(4.701073e-04 -9.750593e-04 9.255387e-23)	(-2.791846e-05 1.439676e-05 -7.976188e-23)
4.675573e-08	(4.432000e-04 -9.616683e-04 5.032678e-24)	(4.714577e-04 -9.778607e-04 9.281992e-23)	(-2.825773e-05 1.619238e-05 -8.778724e-23)
4.866987e-08	(4.441874e-04 -9.626777e-04 -7.474045e-25)	(4.727845e-04 -9.806129e-04 9.308132e-23)	(-2.859704e-05 1.793519e-05 -9.382872e-23)
5.059175e-08	(4.451438e-04 -9.636694e-04 2.689956e-25)	(4.740885e-04 -9.833180e-04 9.333827e-23)	(-2.894468e-05 1.964863e-05 -9.306928e-23)
5.252537e-08	(4.460956e-04 -9.646949e-04 -8.225528e-24)	(4.753709e-04 -9.859783e-04 9.359099e-23)	(-2.927529e-05 2.128332e-05 -1.018165e-22)
5.446692e-08	(4.470107e-04 -9.656845e-04 -1.346682e-23)	(4.766324e-04 -9.885954e-04 9.383964e-23)	(-2.962177e-05 2.291086e-05 -1.073065e-22)
5.641246e-08	(4.479108e-04 -9.666812e-04 -1.652258e-23)	(4.778738e-04 -9.911707e-04 9.408434e-23)	(-2.996297e-05 2.448949e-05 -1.106069e-22)
5.834209e-08	(4.487524e-04 -9.675946e-04 -2.228587e-23)	(4.790953e-04 -9.937046e-04 9.432514e-23)	(-3.034291e-05 2.611004e-05 -1.166110e-22)
6.025992e-08	(4.496152e-04 -9.685873e-04 -2.100975e-23)	(4.802972e-04 -9.961982e-04 9.456212e-23)	(-3.068209e-05 2.761086e-05 -1.155719e-22)
6.216609e-08	(4.504407e-04 -9.695360e-04 -1.946514e-23)	(4.814803e-04 -9.986524e-04 9.479539e-23)	(-3.103961e-05 2.911645e-05 -1.142605e-22)
