# Moment     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.808989e-09	(1.576126e-24 -4.072100e-24 -3.932685e-05)	(1.598465e-24 -4.120294e-24 -3.932685e-05)	(-2.233963e-26 4.819399e-26 -7.174327e-20)
5.839964e-09	(-4.717377e-24 1.302361e-23 1.774170e-04)	(1.602751e-24 -4.131340e-24 -3.943254e-05)	(-6.320128e-24 1.715495e-23 2.168495e-04)
8.270674e-09	(3.460548e-24 -9.970615e-24 -1.534783e-04)	(1.595307e-24 -4.112300e-24 -3.925342e-05)	(1.865241e-24 -5.858315e-24 -1.142249e-04)
1.048931e-08	(-7.501885e-25 1.914629e-24 1.676607e-05)	(1.614384e-24 -4.161347e-24 -3.972026e-05)	(-2.364572e-24 6.075976e-24 5.648633e-05)
1.259018e-08	(1.636815e-24 -4.574412e-24 -6.829261e-05)	(1.618358e-24 -4.171671e-24 -3.981981e-05)	(1.845695e-26 -4.027411e-25 -2.847280e-05)
1.462189e-08	(6.774804e-25 -1.831693e-24 -2.698866e-05)	(1.628723e-24 -4.198332e-24 -4.007416e-05)	(-9.512421e-25 2.366639e-24 1.308550e-05)
1.660056e-08	(9.656907e-25 -2.748002e-24 -4.723075e-05)	(1.635151e-24 -4.214936e-24 -4.023310e-05)	(-6.694606e-25 1.466934e-24 -6.997653e-06)
1.854403e-08	(7.516152e-25 -2.129672e-24 -3.754944e-05)	(1.642884e-24 -4.234843e-24 -4.042320e-05)	(-8.912686e-25 2.105171e-24 2.873752e-06)
2.046094e-08	(7.634407e-25 -2.204789e-24 -4.231377e-05)	(1.649568e-24 -4.252085e-24 -4.058801e-05)	(-8.861270e-25 2.047296e-24 -1.725755e-06)
2.235927e-08	(1.072797e-24 -2.848189e-24 -4.008994e-05)	(1.656386e-24 -4.269652e-24 -4.075583e-05)	(-5.835889e-25 1.421462e-24 6.658962e-07)
2.424661e-08	(9.874828e-25 -2.659362e-24 -4.124479e-05)	(1.662838e-24 -4.286290e-24 -4.091480e-05)	(-6.753553e-25 1.626928e-24 -3.299963e-07)
2.612306e-08	(1.057797e-24 -2.796989e-24 -4.076178e-05)	(1.669196e-24 -4.302675e-24 -4.107132e-05)	(-6.113988e-25 1.505687e-24 3.095356e-07)
2.799230e-08	(1.022045e-24 -2.717126e-24 -4.107734e-05)	(1.675354e-24 -4.318551e-24 -4.122296e-05)	(-6.533084e-25 1.601426e-24 1.456196e-07)
2.985796e-08	(8.679857e-25 -2.371063e-24 -4.100634e-05)	(1.681384e-24 -4.334094e-24 -4.137140e-05)	(-8.133980e-25 1.963031e-24 3.650668e-07)
3.172004e-08	(8.196540e-25 -2.253038e-24 -4.112495e-05)	(1.687267e-24 -4.349262e-24 -4.151625e-05)	(-8.676134e-25 2.096223e-24 3.913013e-07)
3.358212e-08	(9.401745e-25 -2.508198e-24 -4.115254e-05)	(1.693005e-24 -4.364052e-24 -4.165748e-05)	(-7.528308e-25 1.855855e-24 5.049403e-07)
3.544779e-08	(8.652078e-25 -2.342698e-24 -4.122773e-05)	(1.698608e-24 -4.378496e-24 -4.179538e-05)	(-8.334006e-25 2.035798e-24 5.676508e-07)
3.731707e-08	(7.860132e-25 -2.160840e-24 -4.127404e-05)	(1.704091e-24 -4.392629e-24 -4.193030e-05)	(-9.180777e-25 2.231789e-24 6.562569e-07)
3.919000e-08	(7.340489e-25 -2.043751e-24 -4.133402e-05)	(1.709459e-24 -4.406468e-24 -4.206237e-05)	(-9.754103e-25 2.362717e-24 7.283443e-07)
4.107025e-08	(8.072881e-25 -2.191445e-24 -4.138171e-05)	(1.714713e-24 -4.420012e-24 -4.219163e-05)	(-9.074254e-25 2.228567e-24 8.099157e-07)
4.295791e-08	(6.642175e-25 -1.880184e-24 -4.143578e-05)	(1.719862e-24 -4.433284e-24 -4.231828e-05)	(-1.055645e-24 2.553100e-24 8.824958e-07)
4.485304e-08	(6.642481e-25 -1.870301e-24 -4.148665e-05)	(1.724913e-24 -4.446304e-24 -4.244252e-05)	(-1.060665e-24 2.576003e-24 9.558660e-07)
4.675573e-08	(5.577690e-25 -1.628627e-24 -4.153867e-05)	(1.729872e-24 -4.459087e-24 -4.256448e-05)	(-1.172103e-24 2.830460e-24 1.025812e-06)
4.866987e-08	(5.155609e-25 -1.527206e-24 -4.159049e-05)	(1.734745e-24 -4.471647e-24 -4.268431e-05)	(-1.219184e-24 2.944441e-24 1.093815e-06)
5.059175e-08	(5.312995e-25 -1.558366e-24 -4.164118e-05)	(1.739534e-24 -4.483993e-24 -4.280208e-05)	(-1.208235e-24 2.925627e-24 1.160906e-06)
5.252537e-08	(3.901262e-25 -1.245519e-24 -4.169304e-05)	(1.744245e-24 -4.496136e-24 -4.291791e-05)	(-1.354119e-24 3.250616e-24 1.224871e-06)
5.446692e-08	(3.782319e-25 -1.208883e-24 -4.174303e-05)	(1.748880e-24 -4.508083e-24 -4.303186e-05)	(-1.370648e-24 3.299200e-24 1.288829e-06)
5.641246e-08	(2.920860e-25 -1.022559e-24 -4.179306e-05)	(1.753441e-24 -4.519841e-24 -4.314400e-05)	(-1.461355e-24 3.497282e-24 1.350937e-06)
5.834209e-08	(2.705717e-25 -9.623797e-25 -4.183917e-05)	(1.757930e-24 -4.531411e-24 -4.325434e-05)	(-1.487358e-24 3.569031e-24 1.415171e-06)
6.025992e-08	(2.919762e-25 -1.004274e-24 -4.188847e-05)	(1.762347e-24 -4.542798e-24 -4.336292e-05)	(-1.470371e-24 3.538524e-24 1.474450e-06)
6.216609e-08	(3.188449e-25 -1.061857e-24 -4.193561e-05)	(1.766695e-24 -4.554007e-24 -4.346979e-05)	(-1.447850e-24 3.492150e-24 1.534186e-06)
6.406070e-08	(2.278159e-25 -8.538554e-25 -4.198360e-05)	(1.770976e-24 -4.565042e-24 -4.357501e-05)	(-1.543160e-24 3.711187e-24 1.591406e-06)
6.594768e-08	(2.135639e-25 -8.169636e-25 -4.203160e-05)	(1.775192e-24 -4.575910e-24 -4.367861e-05)	(-1.561628e-24 3.758946e-24 1.647015e-06)
6.782706e-08	(9.587986e-26 -5.525389e-25 -4.207906e-05)	(1.779345e-24 -4.586615e-24 -4.378066e-05)	(-1.683465e-24 4.034076e-24 1.701606e-06)
6.970266e-08	(2.773090e-26 -3.944706e-25 -4.212710e-05)	(1.783437e-24 -4.597162e-24 -4.388121e-05)	(-1.755706e-24 4.202692e-24 1.754108e-06)
7.157448e-08	(7.848716e-26 -5.025816e-25 -4.217421e-05)	(1.787470e-24 -4.607557e-24 -4.398029e-05)	(-1.708983e-24 4.104976e-24 1.806081e-06)
7.344254e-08	(-1.898556e-26 -2.865563e-25 -4.222126e-05)	(1.791445e-24 -4.617804e-24 -4.407795e-05)	(-1.810430e-24 4.331248e-24 1.856684e-06)
