# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.000075e-05	(1.721598e-02 -3.077626e-02 1.579764e-16)	(1.622495e-02 -3.135669e-02 2.999623e-21)	(9.910246e-04 5.804296e-04 1.579734e-16)
2.000150e-05	(1.721630e-02 -3.077684e-02 1.579587e-16)	(1.622515e-02 -3.135712e-02 2.999774e-21)	(9.911504e-04 5.802818e-04 1.579557e-16)
2.000225e-05	(1.721658e-02 -3.077729e-02 1.579768e-16)	(1.622535e-02 -3.135755e-02 2.999928e-21)	(9.912225e-04 5.802630e-04 1.579738e-16)
2.000301e-05	(1.721684e-02 -3.077772e-02 1.579932e-16)	(1.622555e-02 -3.135798e-02 3.000084e-21)	(9.912857e-04 5.802622e-04 1.579902e-16)
2.000376e-05	(1.721710e-02 -3.077814e-02 1.580100e-16)	(1.622576e-02 -3.135841e-02 3.000241e-21)	(9.913466e-04 5.802674e-04 1.580070e-16)
2.000451e-05	(1.721736e-02 -3.077857e-02 1.580270e-16)	(1.622596e-02 -3.135884e-02 3.000399e-21)	(9.914069e-04 5.802741e-04 1.580240e-16)
2.000526e-05	(1.721763e-02 -3.077899e-02 1.580438e-16)	(1.622616e-02 -3.135927e-02 3.000559e-21)	(9.914672e-04 5.802815e-04 1.580408e-16)
2.000601e-05	(1.721789e-02 -3.077942e-02 1.580607e-16)	(1.622636e-02 -3.135971e-02 3.000721e-21)	(9.915274e-04 5.802891e-04 1.580577e-16)
2.000676e-05	(1.721815e-02 -3.077984e-02 1.580776e-16)	(1.622656e-02 -3.136014e-02 3.000885e-21)	(9.915875e-04 5.802970e-04 1.580746e-16)
2.000751e-05	(1.721841e-02 -3.078027e-02 1.580944e-16)	(1.622676e-02 -3.136057e-02 3.001050e-21)	(9.916477e-04 5.803049e-04 1.580914e-16)
2.000826e-05	(1.721867e-02 -3.078069e-02 1.581113e-16)	(1.622696e-02 -3.136101e-02 3.001216e-21)	(9.917078e-04 5.803129e-04 1.581083e-16)
2.000902e-05	(1.721894e-02 -3.078112e-02 1.581282e-16)	(1.622717e-02 -3.136144e-02 3.001384e-21)	(9.917680e-04 5.803210e-04 1.581252e-16)
2.000977e-05	(1.721920e-02 -3.078154e-02 1.581450e-16)	(1.622737e-02 -3.136187e-02 3.001554e-21)	(9.918281e-04 5.803292e-04 1.581420e-16)
2.001052e-05	(1.721946e-02 -3.078197e-02 1.581619e-16)	(1.622757e-02 -3.136231e-02 3.001725e-21)	(9.918883e-04 5.803374e-04 1.581589e-16)
2.001127e-05	(1.721972e-02 -3.078240e-02 1.581787e-16)	(1.622777e-02 -3.136274e-02 3.001898e-21)	(9.919484e-04 5.803456e-04 1.581757e-16)
2.001202e-05	(1.721999e-02 -3.078282e-02 1.581956e-16)	(1.622798e-02 -3.136318e-02 3.002072e-21)	(9.920085e-04 5.803539e-04 1.581926e-16)
2.001277e-05	(1.722025e-02 -3.078325e-02 1.582124e-16)	(1.622818e-02 -3.136361e-02 3.002248e-21)	(9.920686e-04 5.803622e-04 1.582094e-16)
2.001352e-05	(1.722051e-02 -3.078368e-02 1.582292e-16)	(1.622838e-02 -3.136405e-02 3.002426e-21)	(9.921288e-04 5.803706e-04 1.582262e-16)
2.001427e-05	(1.722078e-02 -3.078411e-02 1.582460e-16)	(1.622859e-02 -3.136449e-02 3.002605e-21)	(9.921889e-04 5.803789e-04 1.582430e-16)
2.001503e-05	(1.722104e-02 -3.078454e-02 1.582629e-16)	(1.622879e-02 -3.136492e-02 3.002785e-21)	(9.922490e-04 5.803873e-04 1.582599e-16)
2.001578e-05	(1.722130e-02 -3.078496e-02 1.582797e-16)	(1.622899e-02 -3.136536e-02 3.002968e-21)	(9.923091e-04 5.803958e-04 1.582767e-16)
2.001653e-05	(1.722157e-02 -3.078539e-02 1.582965e-16)	(1.622920e-02 -3.136580e-02 3.003152e-21)	(9.923692e-04 5.804042e-04 1.582935e-16)
2.001728e-05	(1.722183e-02 -3.078582e-02 1.583133e-16)	(1.622940e-02 -3.136624e-02 3.003337e-21)	(9.924292e-04 5.804127e-04 1.583103e-16)
2.001803e-05	(1.722210e-02 -3.078625e-02 1.583301e-16)	(1.622961e-02 -3.136667e-02 3.003524e-21)	(9.924893e-04 5.804212e-04 1.583271e-16)
2.001878e-05	(1.722236e-02 -3.078668e-02 1.583468e-16)	(1.622981e-02 -3.136711e-02 3.003713e-21)	(9.925494e-04 5.804297e-04 1.583438e-16)
2.001953e-05	(1.722262e-02 -3.078711e-02 1.583636e-16)	(1.623001e-02 -3.136755e-02 3.003903e-21)	(9.926094e-04 5.804383e-04 1.583606e-16)
2.002029e-05	(1.722289e-02 -3.078754e-02 1.583803e-16)	(1.623022e-02 -3.136799e-02 3.004095e-21)	(9.926695e-04 5.804469e-04 1.583773e-16)
2.002104e-05	(1.722315e-02 -3.078797e-02 1.583970e-16)	(1.623042e-02 -3.136843e-02 3.004288e-21)	(9.927295e-04 5.804555e-04 1.583940e-16)
2.002179e-05	(1.722342e-02 -3.078841e-02 1.584139e-16)	(1.623063e-02 -3.136887e-02 3.004483e-21)	(9.927896e-04 5.804641e-04 1.584109e-16)
2.002254e-05	(1.722368e-02 -3.078884e-02 1.584307e-16)	(1.623083e-02 -3.136931e-02 3.004679e-21)	(9.928496e-04 5.804728e-04 1.584277e-16)
2.002329e-05	(1.722395e-02 -3.078927e-02 1.584474e-16)	(1.623104e-02 -3.136975e-02 3.004878e-21)	(9.929096e-04 5.804814e-04 1.584444e-16)
2.002404e-05	(1.722421e-02 -3.078970e-02 1.584642e-16)	(1.623124e-02 -3.137019e-02 3.005077e-21)	(9.929696e-04 5.804901e-04 1.584612e-16)
2.002479e-05	(1.722448e-02 -3.079013e-02 1.584810e-16)	(1.623145e-02 -3.137063e-02 3.005278e-21)	(9.930296e-04 5.804989e-04 1.584780e-16)
2.002554e-05	(1.722475e-02 -3.079057e-02 1.584978e-16)	(1.623166e-02 -3.137107e-02 3.005481e-21)	(9.930896e-04 5.805076e-04 1.584948e-16)
2.002630e-05	(1.722501e-02 -3.079100e-02 1.585144e-16)	(1.623186e-02 -3.137152e-02 3.005686e-21)	(9.931496e-04 5.805164e-04 1.585114e-16)
2.002705e-05	(1.722528e-02 -3.079143e-02 1.585312e-16)	(1.623207e-02 -3.137196e-02 3.005892e-21)	(9.932096e-04 5.805252e-04 1.585282e-16)
2.002780e-05	(1.722554e-02 -3.079187e-02 1.585479e-16)	(1.623227e-02 -3.137240e-02 3.006099e-21)	(9.932695e-04 5.805340e-04 1.585449e-16)
2.002855e-05	(1.722581e-02 -3.079230e-02 1.585646e-16)	(1.623248e-02 -3.137284e-02 3.006309e-21)	(9.933295e-04 5.805428e-04 1.585616e-16)
2.002930e-05	(1.722608e-02 -3.079274e-02 1.585812e-16)	(1.623269e-02 -3.137329e-02 3.006519e-21)	(9.933894e-04 5.805517e-04 1.585782e-16)
2.003005e-05	(1.722634e-02 -3.079317e-02 1.585979e-16)	(1.623289e-02 -3.137373e-02 3.006732e-21)	(9.934494e-04 5.805606e-04 1.585949e-16)
2.003080e-05	(1.722661e-02 -3.079360e-02 1.586147e-16)	(1.623310e-02 -3.137417e-02 3.006946e-21)	(9.935093e-04 5.805695e-04 1.586117e-16)
2.003156e-05	(1.722688e-02 -3.079404e-02 1.586313e-16)	(1.623331e-02 -3.137462e-02 3.007161e-21)	(9.935692e-04 5.805784e-04 1.586283e-16)
2.003231e-05	(1.722714e-02 -3.079448e-02 1.586480e-16)	(1.623351e-02 -3.137506e-02 3.007378e-21)	(9.936291e-04 5.805874e-04 1.586450e-16)
2.003306e-05	(1.722741e-02 -3.079491e-02 1.586646e-16)	(1.623372e-02 -3.137551e-02 3.007597e-21)	(9.936891e-04 5.805963e-04 1.586616e-16)
2.003381e-05	(1.722768e-02 -3.079535e-02 1.586812e-16)	(1.623393e-02 -3.137595e-02 3.007817e-21)	(9.937490e-04 5.806053e-04 1.586782e-16)
2.003456e-05	(1.722795e-02 -3.079578e-02 1.586979e-16)	(1.623414e-02 -3.137640e-02 3.008039e-21)	(9.938088e-04 5.806143e-04 1.586949e-16)
2.003531e-05	(1.722821e-02 -3.079622e-02 1.587145e-16)	(1.623434e-02 -3.137684e-02 3.008262e-21)	(9.938687e-04 5.806234e-04 1.587115e-16)
2.003606e-05	(1.722848e-02 -3.079666e-02 1.587311e-16)	(1.623455e-02 -3.137729e-02 3.008487e-21)	(9.939286e-04 5.806324e-04 1.587281e-16)
2.003681e-05	(1.722875e-02 -3.079710e-02 1.587477e-16)	(1.623476e-02 -3.137774e-02 3.008714e-21)	(9.939885e-04 5.806415e-04 1.587447e-16)
2.003757e-05	(1.722902e-02 -3.079753e-02 1.587645e-16)	(1.623497e-02 -3.137818e-02 3.008942e-21)	(9.940483e-04 5.806506e-04 1.587615e-16)
2.003832e-05	(1.722929e-02 -3.079797e-02 1.587810e-16)	(1.623518e-02 -3.137863e-02 3.009172e-21)	(9.941082e-04 5.806597e-04 1.587780e-16)
2.003907e-05	(1.722955e-02 -3.079841e-02 1.587976e-16)	(1.623539e-02 -3.137908e-02 3.009403e-21)	(9.941680e-04 5.806689e-04 1.587946e-16)
2.003982e-05	(1.722982e-02 -3.079885e-02 1.588142e-16)	(1.623559e-02 -3.137953e-02 3.009636e-21)	(9.942279e-04 5.806780e-04 1.588112e-16)
2.004057e-05	(1.723009e-02 -3.079929e-02 1.588308e-16)	(1.623580e-02 -3.137998e-02 3.009870e-21)	(9.942877e-04 5.806872e-04 1.588278e-16)
2.004132e-05	(1.723036e-02 -3.079973e-02 1.588474e-16)	(1.623601e-02 -3.138042e-02 3.010106e-21)	(9.943475e-04 5.806964e-04 1.588444e-16)
2.004207e-05	(1.723063e-02 -3.080017e-02 1.588640e-16)	(1.623622e-02 -3.138087e-02 3.010344e-21)	(9.944073e-04 5.807057e-04 1.588610e-16)
2.004282e-05	(1.723090e-02 -3.080061e-02 1.588805e-16)	(1.623643e-02 -3.138132e-02 3.010583e-21)	(9.944671e-04 5.807149e-04 1.588775e-16)
