# Moment     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.000075e-05	(2.421901e-18 -5.335035e-18 -1.325646e-03)	(5.246514e-23 -1.359014e-22 -1.326807e-03)	(2.421849e-18 -5.334899e-18 1.160994e-06)
2.000150e-05	(2.421634e-18 -5.334448e-18 -1.325677e-03)	(5.246586e-23 -1.359143e-22 -1.326829e-03)	(2.421582e-18 -5.334313e-18 1.151794e-06)
2.000225e-05	(2.421922e-18 -5.335081e-18 -1.325702e-03)	(5.246659e-23 -1.359273e-22 -1.326851e-03)	(2.421870e-18 -5.334945e-18 1.149295e-06)
2.000301e-05	(2.422183e-18 -5.335654e-18 -1.325725e-03)	(5.246736e-23 -1.359405e-22 -1.326873e-03)	(2.422130e-18 -5.335518e-18 1.147762e-06)
2.000376e-05	(2.422450e-18 -5.336241e-18 -1.325748e-03)	(5.246814e-23 -1.359537e-22 -1.326895e-03)	(2.422398e-18 -5.336106e-18 1.146543e-06)
2.000451e-05	(2.422718e-18 -5.336831e-18 -1.325771e-03)	(5.246896e-23 -1.359670e-22 -1.326917e-03)	(2.422666e-18 -5.336695e-18 1.145406e-06)
2.000526e-05	(2.422986e-18 -5.337420e-18 -1.325794e-03)	(5.246980e-23 -1.359804e-22 -1.326939e-03)	(2.422934e-18 -5.337284e-18 1.144301e-06)
2.000601e-05	(2.423255e-18 -5.338011e-18 -1.325818e-03)	(5.247066e-23 -1.359939e-22 -1.326961e-03)	(2.423202e-18 -5.337875e-18 1.143209e-06)
2.000676e-05	(2.423523e-18 -5.338600e-18 -1.325841e-03)	(5.247155e-23 -1.360075e-22 -1.326983e-03)	(2.423471e-18 -5.338464e-18 1.142126e-06)
2.000751e-05	(2.423790e-18 -5.339187e-18 -1.325864e-03)	(5.247247e-23 -1.360212e-22 -1.327005e-03)	(2.423738e-18 -5.339051e-18 1.141048e-06)
