# Wall shear stress
# Time       	patch        	min          	max          
1.000000e-06	cone	(1.003307e+00 -2.361475e+00 -3.001866e-16)	(2.617333e+00 -7.174639e-03 1.021687e-13)
2.000000e-06	cone	(5.220537e-01 -1.461973e+00 -2.943889e-16)	(1.577343e+00 -4.257796e-03 1.024515e-13)
3.000000e-06	cone	(-2.588367e+03 -1.786121e+02 -4.668529e-10)	(8.149497e-01 5.585763e+02 1.300096e-15)
4.000000e-06	cone	(-1.359967e+03 -3.281631e+02 -9.627393e-11)	(1.335544e+01 7.888368e+02 8.950143e-16)
5.000000e-06	cone	(-3.878277e+02 -1.685756e+02 -2.923891e-11)	(7.411816e+00 5.582753e+02 6.703800e-16)
6.000000e-06	cone	(-3.654953e+02 -9.810147e+01 -2.246896e-11)	(8.904875e-01 5.513052e+02 1.039553e-15)
7.000000e-06	cone	(-3.524711e+02 -1.198164e+02 -1.622362e-11)	(2.407383e+00 5.296842e+02 8.700911e-16)
8.000000e-06	cone	(-3.414626e+02 -1.403965e+02 -6.921184e-09)	(8.729925e+00 5.136270e+02 1.568444e-15)
9.000000e-06	cone	(-3.304281e+02 -1.521658e+02 -3.423570e-09)	(8.107453e+00 4.959481e+02 1.984189e-14)
1.000000e-05	cone	(-3.223762e+02 -1.625985e+02 -1.523849e-09)	(7.735586e+00 4.874984e+02 4.994700e-15)
1.100000e-05	cone	(-1.467320e+02 -1.720422e+02 -8.319900e-10)	(7.325537e+00 4.010385e+01 8.664232e-15)
1.200000e-05	cone	(-1.569644e+02 -1.793186e+02 -6.641887e-10)	(6.702004e+00 4.055880e+01 8.842422e-15)
1.300000e-05	cone	(-1.647174e+02 -1.845476e+02 -5.008753e-10)	(5.756296e+00 3.129554e+01 1.196721e-14)
1.400000e-05	cone	(-1.707520e+02 -1.885063e+02 -3.189437e-10)	(4.328679e+00 2.123391e+01 1.297885e-14)
1.500000e-05	cone	(-1.753745e+02 -1.915468e+02 -2.095094e-10)	(4.358671e+00 1.398181e+01 1.799962e-14)
1.600000e-05	cone	(-1.788476e+02 -1.936873e+02 -1.384269e-10)	(4.378192e+00 9.525382e+00 1.840544e-14)
1.700000e-05	cone	(-1.813899e+02 -1.952702e+02 -1.118733e-10)	(4.401630e+00 6.915382e+00 1.059924e-13)
1.800000e-05	cone	(-1.833537e+02 -1.965579e+02 -9.804546e-11)	(4.416706e+00 7.305234e+00 3.326122e-13)
1.900000e-05	cone	(-1.848418e+02 -1.975762e+02 -8.953318e-11)	(4.427206e+00 7.550070e+00 5.463246e-13)
2.000000e-05	cone	(-1.859756e+02 -1.983790e+02 -9.508029e-11)	(4.435667e+00 7.278610e+00 7.151331e-13)
