# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 9.785800e+02
# lRef       : 5.000000e-02
# Aref       : 1.966460e-05
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
2.808988764e-09	-1.633765e-01	9.047838e-02	-1.876628e-01	-2.572079e-01	6.954508e-02
5.964656521e-09	7.803920e-01	-4.384081e-01	8.942874e-01	1.227536e+00	-3.332483e-01
9.46478097e-09	-7.034426e-01	3.840308e-01	-8.120542e-01	-1.109470e+00	2.974155e-01
1.295258104e-08	1.196459e-01	-7.603642e-02	1.352458e-01	1.872688e-01	-5.202298e-02
1.642810012e-08	-3.134888e-01	1.682815e-01	-3.641043e-01	-4.955409e-01	1.314366e-01
1.989138146e-08	-9.646566e-02	4.556848e-02	-1.128767e-01	-1.529040e-01	4.002731e-02
2.335466279e-08	-2.074863e-01	1.094296e-01	-2.416179e-01	-3.282952e-01	8.667735e-02
2.680570639e-08	-1.528808e-01	7.816011e-02	-1.778105e-01	-2.417861e-01	6.397553e-02
3.024455548e-08	-1.799573e-01	9.430507e-02	-2.094445e-01	-2.846796e-01	7.523504e-02
3.368340458e-08	-1.669628e-01	8.681127e-02	-1.940059e-01	-2.639657e-01	6.995984e-02
3.711005917e-08	-1.736541e-01	9.106545e-02	-2.018493e-01	-2.745787e-01	7.272943e-02
4.052456251e-08	-1.706049e-01	8.938544e-02	-1.981116e-01	-2.696607e-01	7.154906e-02
4.393906584e-08	-1.724827e-01	9.072097e-02	-2.002768e-01	-2.726211e-01	7.234428e-02
4.734141792e-08	-1.719153e-01	9.051450e-02	-1.995025e-01	-2.716665e-01	7.216400e-02
5.074377e-08 	-1.726170e-01	9.109492e-02	-2.002668e-01	-2.727504e-01	7.248357e-02
5.413397082e-08	-1.726839e-01	9.126244e-02	-2.002658e-01	-2.728169e-01	7.255103e-02
5.752417164e-08	-1.730981e-01	9.163908e-02	-2.006880e-01	-2.734421e-01	7.275411e-02
6.090222121e-08	-1.733374e-01	9.189808e-02	-2.009024e-01	-2.737886e-01	7.288616e-02
6.428027077e-08	-1.736835e-01	9.221512e-02	-2.012472e-01	-2.743071e-01	7.305991e-02
6.764616908e-08	-1.739266e-01	9.246498e-02	-2.014731e-01	-2.746632e-01	7.319004e-02
7.101206738e-08	-1.742145e-01	9.273618e-02	-2.017576e-01	-2.750933e-01	7.333565e-02
7.436581443e-08	-1.744644e-01	9.297886e-02	-2.019982e-01	-2.754635e-01	7.346533e-02
7.771956148e-08	-1.747366e-01	9.323001e-02	-2.022682e-01	-2.758707e-01	7.360252e-02
8.106115727e-08	-1.749841e-01	9.346225e-02	-2.025111e-01	-2.762397e-01	7.372853e-02
8.440275307e-08	-1.752548e-01	9.370345e-02	-2.027829e-01	-2.766462e-01	7.386336e-02
8.77321976e-08	-1.755013e-01	9.392717e-02	-2.030284e-01	-2.770155e-01	7.398712e-02
9.106164213e-08	-1.757708e-01	9.416015e-02	-2.033017e-01	-2.774216e-01	7.411989e-02
9.437893541e-08	-1.760184e-01	9.437767e-02	-2.035515e-01	-2.777942e-01	7.424266e-02
9.769622869e-08	-1.762868e-01	9.460373e-02	-2.038263e-01	-2.782000e-01	7.437365e-02
1.010013707e-07	-1.765304e-01	9.481310e-02	-2.040739e-01	-2.785674e-01	7.449347e-02
1.043065127e-07	-1.767959e-01	9.503202e-02	-2.043477e-01	-2.789698e-01	7.462207e-02
1.076116547e-07	-1.770457e-01	9.523970e-02	-2.046044e-01	-2.793479e-01	7.474345e-02
