# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.808989e-09	(4.355890e-04 -9.034630e-04 8.619794e-23)	(4.355890e-04 -9.034630e-04 8.576772e-23)	(7.992520e-19 -1.633929e-18 4.302246e-25)
5.964657e-09	(-2.110623e-03 4.305357e-03 -2.954058e-22)	(4.367751e-04 -9.059224e-04 8.600045e-23)	(-2.547398e-03 5.211280e-03 -3.814063e-22)
9.464781e-09	(1.848835e-03 -3.909463e-03 2.419628e-22)	(4.326101e-04 -8.972905e-04 8.517324e-23)	(1.416225e-03 -3.012172e-03 1.567895e-22)
1.295258e-08	(-3.660612e-04 6.511123e-04 -6.434062e-23)	(4.407186e-04 -9.140863e-04 8.677390e-23)	(-8.067798e-04 1.565199e-03 -1.511145e-22)
1.642810e-08	(8.101554e-04 -1.752903e-03 1.167638e-22)	(4.408203e-04 -9.143284e-04 8.679149e-23)	(3.693351e-04 -8.385748e-04 2.997236e-23)
1.989138e-08	(2.193798e-04 -5.434209e-04 2.727954e-23)	(4.445668e-04 -9.220724e-04 8.752801e-23)	(-2.251870e-04 3.786515e-04 -6.024847e-23)
2.335466e-08	(5.268257e-04 -1.163218e-03 6.482495e-23)	(4.461481e-04 -9.253680e-04 8.783860e-23)	(8.067758e-05 -2.378501e-04 -2.301366e-23)
2.680571e-08	(3.762853e-04 -8.560311e-04 2.342765e-23)	(4.487189e-04 -9.306878e-04 8.834333e-23)	(-7.243361e-05 7.465671e-05 -6.491567e-23)
3.024456e-08	(4.540118e-04 -1.008326e-03 3.993147e-23)	(4.506163e-04 -9.346314e-04 8.871626e-23)	(3.395445e-06 -7.369495e-05 -4.878478e-23)
3.368340e-08	(4.179345e-04 -9.340004e-04 1.779987e-23)	(4.527271e-04 -9.390012e-04 8.913066e-23)	(-3.479263e-05 5.000801e-06 -7.133079e-23)
3.711006e-08	(4.384153e-04 -9.717606e-04 3.492993e-23)	(4.546571e-04 -9.430087e-04 8.951005e-23)	(-1.624185e-05 -2.875195e-05 -5.458012e-23)
4.052456e-08	(4.303272e-04 -9.537665e-04 2.312924e-23)	(4.566121e-04 -9.470609e-04 8.989408e-23)	(-2.628486e-05 -6.705605e-06 -6.676484e-23)
4.393907e-08	(4.367569e-04 -9.641904e-04 1.582273e-23)	(4.584932e-04 -9.509646e-04 9.026386e-23)	(-2.173633e-05 -1.322572e-05 -7.444112e-23)
4.734142e-08	(4.357629e-04 -9.604627e-04 1.645005e-23)	(4.603537e-04 -9.548226e-04 9.062944e-23)	(-2.459081e-05 -5.640081e-06 -7.417939e-23)
5.074377e-08	(4.385572e-04 -9.641420e-04 3.175811e-24)	(4.621686e-04 -9.585879e-04 9.098622e-23)	(-2.361143e-05 -5.554101e-06 -8.781041e-23)
5.413397e-08	(4.393637e-04 -9.641373e-04 -2.796680e-24)	(4.639532e-04 -9.622893e-04 9.133700e-23)	(-2.458954e-05 -1.848017e-06 -9.413368e-23)
5.752417e-08	(4.411769e-04 -9.661696e-04 -1.714306e-23)	(4.657019e-04 -9.659168e-04 9.168079e-23)	(-2.452496e-05 -2.528418e-07 -1.088239e-22)
6.090222e-08	(4.424238e-04 -9.672022e-04 -2.608397e-23)	(4.674195e-04 -9.694796e-04 9.201847e-23)	(-2.499563e-05 2.277406e-06 -1.181024e-22)
6.428027e-08	(4.439502e-04 -9.688620e-04 -2.419806e-23)	(4.691053e-04 -9.729769e-04 9.234994e-23)	(-2.515518e-05 4.114887e-06 -1.165480e-22)
6.764617e-08	(4.451531e-04 -9.699497e-04 -2.869310e-23)	(4.707585e-04 -9.764061e-04 9.267510e-23)	(-2.560540e-05 6.456428e-06 -1.213682e-22)
7.101207e-08	(4.464587e-04 -9.713194e-04 -3.822122e-23)	(4.723787e-04 -9.797670e-04 9.299377e-23)	(-2.592000e-05 8.447584e-06 -1.312150e-22)
7.436581e-08	(4.476270e-04 -9.724774e-04 -4.331943e-23)	(4.739690e-04 -9.830657e-04 9.330655e-23)	(-2.634198e-05 1.058827e-05 -1.366260e-22)
7.771956e-08	(4.488361e-04 -9.737775e-04 -5.768727e-23)	(4.755306e-04 -9.863049e-04 9.361371e-23)	(-2.669446e-05 1.252735e-05 -1.513010e-22)
8.106116e-08	(4.499542e-04 -9.749470e-04 -5.914243e-23)	(4.770650e-04 -9.894877e-04 9.391554e-23)	(-2.711086e-05 1.454069e-05 -1.530580e-22)
