# Moment     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.808989e-09	(1.576134e-24 -4.072123e-24 -3.932708e-05)	(1.598474e-24 -4.120317e-24 -3.932708e-05)	(-2.233963e-26 4.819399e-26 -7.174327e-20)
5.964657e-09	(-5.209950e-24 1.427107e-23 1.878516e-04)	(1.602810e-24 -4.131493e-24 -3.943402e-05)	(-6.812760e-24 1.840256e-23 2.272856e-04)
9.464781e-09	(3.685252e-24 -1.068895e-23 -1.693288e-04)	(1.587300e-24 -4.091737e-24 -3.905827e-05)	(2.097951e-24 -6.597216e-24 -1.302705e-04)
1.295258e-08	(-1.103708e-24 2.903424e-24 2.880049e-05)	(1.617197e-24 -4.168559e-24 -3.978873e-05)	(-2.720905e-24 7.071983e-24 6.858922e-05)
1.642810e-08	(1.873758e-24 -5.165668e-24 -7.546126e-05)	(1.617516e-24 -4.169550e-24 -3.979998e-05)	(2.562420e-25 -9.961182e-25 -3.566128e-05)
1.989138e-08	(6.138784e-25 -1.590505e-24 -2.322067e-05)	(1.631240e-24 -4.204802e-24 -4.013614e-05)	(-1.017362e-24 2.614297e-24 1.691546e-05)
2.335466e-08	(1.263239e-24 -3.382711e-24 -4.994494e-05)	(1.637033e-24 -4.219801e-24 -4.027994e-05)	(-3.737940e-25 8.370905e-25 -9.664997e-06)
2.680571e-08	(6.376081e-25 -1.805419e-24 -3.680061e-05)	(1.646434e-24 -4.243984e-24 -4.051099e-05)	(-1.008826e-24 2.438565e-24 3.710379e-06)
3.024456e-08	(9.526615e-25 -2.569689e-24 -4.331832e-05)	(1.653389e-24 -4.261941e-24 -4.068278e-05)	(-7.007272e-25 1.692252e-24 -2.635542e-06)
3.368340e-08	(5.883459e-25 -1.709410e-24 -4.019035e-05)	(1.661105e-24 -4.281806e-24 -4.087266e-05)	(-1.072759e-24 2.572396e-24 6.823060e-07)
3.711006e-08	(1.016012e-24 -2.647034e-24 -4.180104e-05)	(1.668178e-24 -4.300053e-24 -4.104712e-05)	(-6.521665e-25 1.653019e-24 -7.539176e-07)
4.052456e-08	(8.402879e-25 -2.235071e-24 -4.106705e-05)	(1.675332e-24 -4.318488e-24 -4.122335e-05)	(-8.350444e-25 2.083417e-24 1.562920e-07)
4.393907e-08	(7.452700e-25 -2.020717e-24 -4.151907e-05)	(1.682225e-24 -4.336261e-24 -4.139323e-05)	(-9.369548e-25 2.315545e-24 -1.258351e-07)
4.734142e-08	(8.054068e-25 -2.132306e-24 -4.138248e-05)	(1.689037e-24 -4.353819e-24 -4.156106e-05)	(-8.836301e-25 2.221513e-24 1.785764e-07)
5.074377e-08	(6.388684e-25 -1.758827e-24 -4.155139e-05)	(1.695686e-24 -4.370962e-24 -4.172490e-05)	(-1.056818e-24 2.612135e-24 1.735118e-07)
5.413397e-08	(5.979964e-25 -1.653714e-24 -4.156751e-05)	(1.702223e-24 -4.387813e-24 -4.188594e-05)	(-1.104227e-24 2.734098e-24 3.184297e-07)
5.752417e-08	(3.656331e-25 -1.140730e-24 -4.166720e-05)	(1.708631e-24 -4.404330e-24 -4.204378e-05)	(-1.342998e-24 3.263600e-24 3.765814e-07)
6.090222e-08	(2.655904e-25 -9.128166e-25 -4.172480e-05)	(1.714924e-24 -4.420553e-24 -4.219881e-05)	(-1.449334e-24 3.507736e-24 4.740051e-07)
6.428027e-08	(3.327026e-25 -1.047774e-24 -4.180812e-05)	(1.721102e-24 -4.436479e-24 -4.235099e-05)	(-1.388399e-24 3.388705e-24 5.428680e-07)
6.764617e-08	(2.515504e-25 -8.606158e-25 -4.186664e-05)	(1.727162e-24 -4.452101e-24 -4.250022e-05)	(-1.475612e-24 3.591485e-24 6.335826e-07)
7.101207e-08	(1.492014e-25 -6.227374e-25 -4.193593e-05)	(1.733102e-24 -4.467411e-24 -4.264647e-05)	(-1.583900e-24 3.844674e-24 7.105412e-07)
7.436581e-08	(1.267226e-25 -5.640669e-25 -4.199610e-05)	(1.738931e-24 -4.482437e-24 -4.279002e-05)	(-1.612208e-24 3.918371e-24 7.939217e-07)
7.771956e-08	(-9.520205e-26 -6.818348e-26 -4.206163e-05)	(1.744655e-24 -4.497193e-24 -4.293097e-05)	(-1.839857e-24 4.429010e-24 8.693491e-07)
8.106116e-08	(-3.812701e-26 -1.771849e-25 -4.212119e-05)	(1.750281e-24 -4.511693e-24 -4.306948e-05)	(-1.788408e-24 4.334508e-24 9.482851e-07)
8.440275e-08	(-1.382372e-25 5.212291e-26 -4.218635e-05)	(1.755810e-24 -4.525945e-24 -4.320561e-05)	(-1.894047e-24 4.578068e-24 1.019257e-06)
8.773220e-08	(-2.828462e-25 3.722740e-25 -4.224569e-05)	(1.761247e-24 -4.539960e-24 -4.333947e-05)	(-2.044093e-24 4.912234e-24 1.093782e-06)
9.106164e-08	(-4.774207e-25 8.073654e-25 -4.231055e-05)	(1.766594e-24 -4.553744e-24 -4.347112e-05)	(-2.244015e-24 5.361109e-24 1.160564e-06)
9.437894e-08	(-4.943153e-25 8.560450e-25 -4.237017e-05)	(1.771855e-24 -4.567306e-24 -4.360064e-05)	(-2.266171e-24 5.423351e-24 1.230473e-06)
9.769623e-08	(-4.706219e-25 8.151495e-25 -4.243477e-05)	(1.777032e-24 -4.580650e-24 -4.372808e-05)	(-2.247654e-24 5.395800e-24 1.293305e-06)
1.010014e-07	(-5.570067e-25 1.015588e-24 -4.249342e-05)	(1.782128e-24 -4.593785e-24 -4.385351e-05)	(-2.339135e-24 5.609373e-24 1.360093e-06)
1.043065e-07	(-5.664255e-25 1.042601e-24 -4.255733e-05)	(1.787144e-24 -4.606714e-24 -4.397697e-05)	(-2.353569e-24 5.649314e-24 1.419635e-06)
1.076117e-07	(-7.197272e-25 1.388184e-24 -4.261744e-05)	(1.792082e-24 -4.619443e-24 -4.409852e-05)	(-2.511809e-24 6.007627e-24 1.481081e-06)
1.109046e-07	(-7.777620e-25 1.530837e-24 -4.267662e-05)	(1.796945e-24 -4.631979e-24 -4.421822e-05)	(-2.574707e-24 6.162817e-24 1.541599e-06)
1.141975e-07	(-1.005207e-24 2.036416e-24 -4.273834e-05)	(1.801734e-24 -4.644324e-24 -4.433608e-05)	(-2.806941e-24 6.680740e-24 1.597736e-06)
1.174783e-07	(-1.053291e-24 2.150332e-24 -4.279506e-05)	(1.806451e-24 -4.656481e-24 -4.445215e-05)	(-2.859742e-24 6.806813e-24 1.657091e-06)
1.207590e-07	(-1.095306e-24 2.251886e-24 -4.285683e-05)	(1.811095e-24 -4.668453e-24 -4.456645e-05)	(-2.906402e-24 6.920339e-24 1.709618e-06)
1.240398e-07	(-1.229400e-24 2.557353e-24 -4.291406e-05)	(1.815671e-24 -4.680247e-24 -4.467904e-05)	(-3.045071e-24 7.237600e-24 1.764980e-06)
1.273083e-07	(-1.272888e-24 2.662683e-24 -4.297052e-05)	(1.820179e-24 -4.691868e-24 -4.478997e-05)	(-3.093067e-24 7.354551e-24 1.819446e-06)
1.305768e-07	(-1.367784e-24 2.878170e-24 -4.302934e-05)	(1.824621e-24 -4.703316e-24 -4.489925e-05)	(-3.192404e-24 7.581487e-24 1.869913e-06)
1.338331e-07	(-1.432544e-24 3.032601e-24 -4.308317e-05)	(1.828998e-24 -4.714600e-24 -4.500695e-05)	(-3.261543e-24 7.747201e-24 1.923788e-06)
1.370893e-07	(-1.538679e-24 3.272240e-24 -4.314157e-05)	(1.833312e-24 -4.725719e-24 -4.511308e-05)	(-3.371990e-24 7.997959e-24 1.971505e-06)
1.403456e-07	(-1.530267e-24 3.261527e-24 -4.319645e-05)	(1.837563e-24 -4.736678e-24 -4.521768e-05)	(-3.367830e-24 7.998205e-24 2.021224e-06)
1.435896e-07	(-1.643625e-24 3.522546e-24 -4.324984e-05)	(1.841755e-24 -4.747483e-24 -4.532079e-05)	(-3.485380e-24 8.270029e-24 2.070952e-06)
1.468336e-07	(-1.830243e-24 3.941072e-24 -4.330593e-05)	(1.845887e-24 -4.758132e-24 -4.542243e-05)	(-3.676130e-24 8.699204e-24 2.116499e-06)
1.500775e-07	(-1.825204e-24 3.941091e-24 -4.335943e-05)	(1.849960e-24 -4.768632e-24 -4.552262e-05)	(-3.675164e-24 8.709723e-24 2.163197e-06)
1.533092e-07	(-1.928089e-24 4.174804e-24 -4.341092e-05)	(1.853977e-24 -4.778986e-24 -4.562143e-05)	(-3.782066e-24 8.953790e-24 2.210507e-06)
1.565408e-07	(-2.062176e-24 4.479238e-24 -4.346588e-05)	(1.857937e-24 -4.789194e-24 -4.571884e-05)	(-3.920113e-24 9.268432e-24 2.252958e-06)
1.597725e-07	(-2.067742e-24 4.501587e-24 -4.351782e-05)	(1.861842e-24 -4.799261e-24 -4.581489e-05)	(-3.929585e-24 9.300848e-24 2.297076e-06)
