# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.000195e-05	(3.879997e-03 -7.431645e-03 3.710329e-16)	(3.597778e-03 -7.275718e-03 2.229554e-22)	(2.822191e-04 -1.559269e-04 3.710327e-16)
2.000390e-05	(3.873558e-03 -7.418165e-03 3.709671e-16)	(3.598555e-03 -7.277381e-03 2.228610e-22)	(2.750027e-04 -1.407840e-04 3.709669e-16)
2.000585e-05	(3.878134e-03 -7.427839e-03 3.708967e-16)	(3.599314e-03 -7.279002e-03 2.227682e-22)	(2.788204e-04 -1.488367e-04 3.708965e-16)
2.000780e-05	(3.877054e-03 -7.425466e-03 3.708266e-16)	(3.600088e-03 -7.280659e-03 2.226758e-22)	(2.769657e-04 -1.448070e-04 3.708264e-16)
2.000975e-05	(3.878729e-03 -7.428975e-03 3.707565e-16)	(3.600856e-03 -7.282301e-03 2.225842e-22)	(2.778725e-04 -1.466742e-04 3.707563e-16)
2.001170e-05	(3.879097e-03 -7.429691e-03 3.706864e-16)	(3.601628e-03 -7.283952e-03 2.224937e-22)	(2.774693e-04 -1.457388e-04 3.706861e-16)
2.001365e-05	(3.880108e-03 -7.431778e-03 3.706162e-16)	(3.602399e-03 -7.285601e-03 2.224041e-22)	(2.777087e-04 -1.461772e-04 3.706159e-16)
2.001559e-05	(3.880813e-03 -7.433212e-03 3.705460e-16)	(3.603171e-03 -7.287252e-03 2.223156e-22)	(2.776420e-04 -1.459599e-04 3.705457e-16)
2.001754e-05	(3.881672e-03 -7.434973e-03 3.704757e-16)	(3.603943e-03 -7.288903e-03 2.222281e-22)	(2.777288e-04 -1.460703e-04 3.704754e-16)
2.001949e-05	(3.882458e-03 -7.436578e-03 3.704054e-16)	(3.604715e-03 -7.290555e-03 2.221417e-22)	(2.777424e-04 -1.460234e-04 3.704051e-16)
2.002144e-05	(3.883283e-03 -7.438266e-03 3.703350e-16)	(3.605488e-03 -7.292207e-03 2.220564e-22)	(2.777944e-04 -1.460585e-04 3.703348e-16)
2.002339e-05	(3.884090e-03 -7.439916e-03 3.702646e-16)	(3.606261e-03 -7.293860e-03 2.219722e-22)	(2.778290e-04 -1.460556e-04 3.702644e-16)
2.002534e-05	(3.884908e-03 -7.441588e-03 3.701942e-16)	(3.607034e-03 -7.295514e-03 2.218890e-22)	(2.778738e-04 -1.460742e-04 3.701940e-16)
2.002729e-05	(3.885722e-03 -7.443251e-03 3.701237e-16)	(3.607807e-03 -7.297167e-03 2.218070e-22)	(2.779146e-04 -1.460839e-04 3.701235e-16)
2.002924e-05	(3.886539e-03 -7.444921e-03 3.700532e-16)	(3.608581e-03 -7.298821e-03 2.217261e-22)	(2.779584e-04 -1.460996e-04 3.700530e-16)
2.003119e-05	(3.887356e-03 -7.446589e-03 3.699826e-16)	(3.609354e-03 -7.300476e-03 2.216463e-22)	(2.780014e-04 -1.461134e-04 3.699824e-16)
2.003314e-05	(3.888174e-03 -7.448260e-03 3.699119e-16)	(3.610128e-03 -7.302131e-03 2.215676e-22)	(2.780455e-04 -1.461291e-04 3.699117e-16)
2.003509e-05	(3.888991e-03 -7.449929e-03 3.698412e-16)	(3.610902e-03 -7.303786e-03 2.214901e-22)	(2.780888e-04 -1.461430e-04 3.698410e-16)
2.003704e-05	(3.889809e-03 -7.451600e-03 3.697706e-16)	(3.611676e-03 -7.305441e-03 2.214136e-22)	(2.781328e-04 -1.461583e-04 3.697704e-16)
