# Moment     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.000195e-05	(5.560849e-18 -1.223915e-17 -3.021431e-04)	(3.619397e-24 -8.822363e-24 -2.884296e-04)	(5.560846e-18 -1.223915e-17 -1.371348e-05)
2.000390e-05	(5.559873e-18 -1.223701e-17 -3.013876e-04)	(3.615402e-24 -8.819354e-24 -2.885282e-04)	(5.559870e-18 -1.223700e-17 -1.285938e-05)
2.000585e-05	(5.558828e-18 -1.223471e-17 -3.019410e-04)	(3.611525e-24 -8.816365e-24 -2.886245e-04)	(5.558825e-18 -1.223470e-17 -1.331653e-05)
2.000780e-05	(5.557788e-18 -1.223242e-17 -3.018141e-04)	(3.607616e-24 -8.813419e-24 -2.887227e-04)	(5.557784e-18 -1.223241e-17 -1.309135e-05)
2.000975e-05	(5.556748e-18 -1.223013e-17 -3.020199e-04)	(3.603730e-24 -8.810505e-24 -2.888202e-04)	(5.556745e-18 -1.223012e-17 -1.319966e-05)
2.001170e-05	(5.555707e-18 -1.222783e-17 -3.020674e-04)	(3.599850e-24 -8.807648e-24 -2.889182e-04)	(5.555703e-18 -1.222783e-17 -1.314921e-05)
2.001365e-05	(5.554665e-18 -1.222554e-17 -3.021928e-04)	(3.595983e-24 -8.804832e-24 -2.890161e-04)	(5.554661e-18 -1.222553e-17 -1.317676e-05)
2.001559e-05	(5.553623e-18 -1.222325e-17 -3.022811e-04)	(3.592129e-24 -8.802071e-24 -2.891141e-04)	(5.553619e-18 -1.222324e-17 -1.316703e-05)
2.001754e-05	(5.552580e-18 -1.222095e-17 -3.023881e-04)	(3.588288e-24 -8.799358e-24 -2.892121e-04)	(5.552576e-18 -1.222094e-17 -1.317597e-05)
2.001949e-05	(5.551536e-18 -1.221865e-17 -3.024862e-04)	(3.584460e-24 -8.796699e-24 -2.893103e-04)	(5.551533e-18 -1.221865e-17 -1.317595e-05)
2.002144e-05	(5.550492e-18 -1.221636e-17 -3.025890e-04)	(3.580645e-24 -8.794091e-24 -2.894084e-04)	(5.550489e-18 -1.221635e-17 -1.318061e-05)
2.002339e-05	(5.549448e-18 -1.221406e-17 -3.026897e-04)	(3.576844e-24 -8.791536e-24 -2.895066e-04)	(5.549444e-18 -1.221405e-17 -1.318310e-05)
