# Wall shear stress
# Time       	patch        	min          	max          
1.000000e-06	cone	(8.952875e-01 -2.303748e+00 -2.836589e-16)	(2.660426e+00 -6.238201e-03 9.846723e-14)
2.000000e-06	cone	(4.811564e-01 -1.544232e+00 -2.712391e-16)	(1.756239e+00 -3.756018e-03 1.041459e-13)
3.000000e-06	cone	(2.479736e-01 -1.054076e+00 -2.520744e-16)	(1.191017e+00 -2.485305e-03 9.201179e-14)
4.000000e-06	cone	(1.248773e-01 -7.747822e-01 -3.247460e-16)	(8.750994e-01 -1.800120e-03 8.047413e-14)
5.000000e-06	cone	(5.313572e-02 -6.044209e-01 -4.885123e-16)	(6.807730e-01 -1.393099e-03 7.214230e-14)
6.000000e-06	cone	(1.148652e-02 -4.938435e-01 -5.896313e-16)	(5.277455e-01 -1.087010e-03 6.514354e-14)
7.000000e-06	cone	(-1.737649e+02 -4.228159e-01 -8.182418e-12)	(2.597029e-01 2.103730e+01 2.754949e-15)
8.000000e-06	cone	(-1.540920e+02 -3.384046e+01 -1.792559e-11)	(1.893540e-01 6.547817e+01 1.482578e-15)
9.000000e-06	cone	(-1.043324e+02 -3.016055e+01 -8.856120e-12)	(2.784538e+00 6.035448e+01 2.614708e-15)
1.000000e-05	cone	(-7.344465e+01 -2.317486e+01 -5.414150e-12)	(2.458719e+00 5.159733e+01 1.350489e-14)
1.100000e-05	cone	(-3.745864e+01 -1.831965e+01 -3.830911e-12)	(8.448948e-01 4.184188e+01 4.952974e-14)
1.200000e-05	cone	(-2.753393e+01 -1.472818e+01 -3.083460e-12)	(7.833685e-02 4.154055e+01 1.092337e-13)
1.300000e-05	cone	(-2.689193e+01 -1.331465e+01 -2.623434e-12)	(7.058842e-02 4.048988e+01 1.863992e-13)
1.400000e-05	cone	(-2.632379e+01 -1.490890e+01 -2.069057e-12)	(5.830240e+00 3.958868e+01 3.013654e-13)
1.500000e-05	cone	(-2.579201e+01 -1.587812e+01 -1.461987e-12)	(3.121199e+00 3.873774e+01 3.174856e-13)
1.600000e-05	cone	(-2.531199e+01 -1.466892e+01 -5.795751e-11)	(5.356933e-02 3.803968e+01 1.366866e-12)
1.700000e-05	cone	(-2.486789e+01 -1.237235e+01 -2.999364e-10)	(4.862096e-02 3.735701e+01 1.575986e-12)
1.800000e-05	cone	(-2.450161e+01 -1.247453e+01 -3.784220e-10)	(4.353657e-01 3.676267e+01 1.293544e-12)
1.900000e-05	cone	(-2.417898e+01 -1.361921e+01 -3.788556e-10)	(1.108082e+00 3.624068e+01 9.534252e-13)
2.000000e-05	cone	(-2.390555e+01 -1.457853e+01 -3.396598e-10)	(1.731444e+00 3.580862e+01 6.550869e-13)
