# Wall shear stress
# Time       	patch        	min          	max          
2.100000e-05	cone	(-2.368950e+01 -1.528580e+01 -2.895263e-10)	(2.206392e+00 3.530616e+01 4.846529e-13)
2.200000e-05	cone	(-2.300305e+01 -1.591625e+01 -2.466481e-10)	(2.528920e+00 3.933441e+01 3.457729e-13)
2.300000e-05	cone	(-1.467787e+01 -1.669483e+01 -2.084337e-10)	(2.691462e+00 2.710055e+00 2.351878e-13)
2.400000e-05	cone	(-1.545942e+01 -1.755479e+01 -1.748591e-10)	(2.670341e+00 -2.048573e-01 1.665566e-13)
2.500000e-05	cone	(-1.630794e+01 -1.831627e+01 -1.462018e-10)	(2.520763e+00 -9.190327e-02 1.167214e-13)
2.600000e-05	cone	(-1.699575e+01 -1.892079e+01 -1.238677e-10)	(2.304801e+00 1.917591e-01 7.401346e-14)
2.700000e-05	cone	(-1.755359e+01 -1.942583e+01 -1.051621e-10)	(2.104080e+00 4.067176e-01 5.156405e-14)
2.800000e-05	cone	(-1.808985e+01 -1.987587e+01 -8.978717e-11)	(1.984536e+00 5.587488e-01 3.322902e-14)
2.900000e-05	cone	(-1.864179e+01 -2.027148e+01 -7.737074e-11)	(1.949524e+00 6.429414e-01 2.272189e-14)
3.000000e-05	cone	(-1.917566e+01 -2.060173e+01 -6.740472e-11)	(1.948096e+00 6.627049e-01 1.609800e-14)
3.100000e-05	cone	(-1.965970e+01 -2.086784e+01 -5.966757e-11)	(1.929870e+00 6.626801e-01 1.027107e-14)
3.200000e-05	cone	(-2.009242e+01 -2.109344e+01 -5.380297e-11)	(1.868405e+00 8.951952e-01 6.219674e-15)
3.300000e-05	cone	(-2.048427e+01 -2.129186e+01 -4.927145e-11)	(1.765154e+00 1.056811e+00 3.445661e-15)
3.400000e-05	cone	(-2.084383e+01 -2.146961e+01 -4.584929e-11)	(1.637647e+00 1.148856e+00 3.125587e-15)
3.500000e-05	cone	(-2.116966e+01 -2.162658e+01 -4.306298e-11)	(1.511266e+00 1.180686e+00 2.835799e-15)
3.600000e-05	cone	(-2.145509e+01 -2.176022e+01 -4.038543e-11)	(1.397090e+00 1.163663e+00 2.683541e-15)
3.700000e-05	cone	(-2.171592e+01 -2.188634e+01 -3.762378e-11)	(1.365924e+00 1.115636e+00 2.605231e-15)
3.800000e-05	cone	(-2.195624e+01 -2.200808e+01 -3.490460e-11)	(1.536609e+00 1.054278e+00 2.502780e-15)
3.900000e-05	cone	(-2.218367e+01 -2.211926e+01 -3.224629e-11)	(1.700653e+00 9.923644e-01 2.465419e-15)
4.000000e-05	cone	(-2.238693e+01 -2.221709e+01 -2.942106e-11)	(1.846502e+00 9.437857e-01 2.438974e-15)
